id,song_name,artist_name,explicit
4iN16F8JtVxG2UTzp3avGl,Smokin Out The Window,Bruno Mars,False
4RPfF29Pu7d57ynMTuBUyW,TIME IN OBLIVION,iANO,False
0BesqvlvkbU9FZMiQHrIzA,Moriré,La Factoria,False
7C0PzxbsQx59DgGVRsquwJ,Voodoo People - Pendulum Mix,The Prodigy,False
1Dp7ASSZVVOPJ85VdLpjOX,Seventeen Going Under,Sam Fender,True
2IAR0DziHCjSu16gR4ihvy,Nothing,Bruno Major,False
5bBzkJE9BqYTL27webAUCw,Rocc Climbing (feat. Lil Yachty),Remble,True
4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,False
6WaXnBrjm9QlNYfncRqtei,Bedroom,Supahbadd,True
4y3BUo2hp0MxylfbUaqRyJ,Stuck In The Middle,Tai Verdes,True
3BrWLBC4WYx393yRUOlTih,Meet Me At Our Spot - Live,THE ANXIETY,True
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,False
5MYFw4T2gy52pOGBN4EYHS,Stay Fly,Three 6 Mafia,True
4rUTAkOU7OkVGeQuyQCHhF,Sledgehammer,Fifth Harmony,False
5reQI13tWWYDLMrGcUF4Mk,Nuestra Canción,Monsieur Periné,False
6M47gaKejso9772SKTa3yH,Face Off,Tech N9ne,True
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,False
6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,False
6ZYv8ozQzQr1ClAe8dnUZN,Running Out Of Time,Lin-Manuel Miranda,False
06eVs1T2bgsAsp0s9LUkg6,COMMA$,Curtis Roach,True
0eu4C55hL6x29mmeAjytzC,Life Goes On,Oliver Tree,False
40hZyHqbc95LHbHunHr1Lh,"The Sense of Me (From ""Life Is Strange"")",DOLKINS,False
1FssTKSXO3JLiQc3udfK5I,La Cumbia Tribalera,El Pelón del Mikrophone,False
0WSEq9Ko4kFPt8yo3ICd6T,Praise God,Kanye West,False
135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,Benson Boone,False
5elofKuRmgZmCVImWT6JtE,see you later (ten years),Jenna Raine,False
18ddJHQ7CUzNBiy55L0Xjj,WFM,RealestK,False
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,George Michael,False
3oE2HPoP7DCgxhrqjAosZY,TWINNEM,Coi Leray,True
2Msuiqt9sZojSKLVZcJp1l,Chop Chop Slide,Insane Clown Posse,True
7AUCyNjckeQBBnKol7MZ59,Pink Soldiers,23,False
3b53oUToREaV3Hflz0RdAI,Said Sum - Remix,Moneybagg Yo,True
2SHiY7HSjdVFZXKiERP0iy,Whistle,Riko Rose,True
6FE2iI43OZnszFLuLtvvmg,Classic,MKTO,False
1iBfg5pMNqR0HFTpDTr73A,The Assignment,Tay Money,True
7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,False
6G2xXQRSZlEzYsUEb3uvuR,Está Dañada,Ivan Cornejo,False
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell,False
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,Lil Nas X,True
5iDfnRTdV2mrvMK886TLRg,Honky Tonk Badonkadonk,Trace Adkins,False
2W779g2UrRZtVdf3FcEOO1,In My Mind,Lyn Lapid,False
3NisXVV6O727QM1GZaAAen,(Everything I Do) I Do It for You,Brandy,False
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),Drake,True
0UTyLmkQgPOEIz95OVAJTR,range brothers (with Kendrick Lamar),Baby Keem,True
0L3XCv9i9IHs8cJEVhsJ3J,More Than A Woman - SG's Paradise Edit,Bee Gees,False
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Drake,True
1Wdj4wRDYS7aT4CoPS0mAH,You Are Enough,Sleeping At Last,False
1ymsN94JMOSZncP5WETfSh,Unbreakable (with Sam Gray),TELYKast,False
2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,Drake,True
24SkzbH7hGhUvqIaKlJ1TY,Pineapple,KAROL G,False
2stbjvpFujerfDUuUUPX7o,breadwinner,Kacey Musgraves,False
2TeLIzFBe3hxkPR5FIQZut,Like I Can,Sam Smith,False
0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),Doja Cat,True
7aonAWn0J0AJ47ZU9WHCXC,INFERNO,Sub Urban,False
3S7A85bAWOd6ltk6r2ANOI,U Are My High,DJ Snake,False
